address,wallet_name,category,tier,success_rate,four_x_rate,total_trades,successful_trades,avg_roi,total_pnl,token_count,overall_score
CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,early mover,Gem Spotter,Tier 2,100.00,100.00,71,71,157898.69,2669935.00,71,54.20
2J4yED9RVQ9jEnj4t5AvKKVyxHH4eHiGxaLASy8mvPST,early mover,Gem Spotter,Tier 2,100.00,100.00,71,71,53322.43,2197742.00,71,54.20
9ru9BSVFSUqSRQFwdjjnkzQGf9yUdpRTjpjXPKc4BvxX,early mover,Gem Spotter,Tier 2,100.00,100.00,71,71,28271.21,1401753.00,70,54.20
Ehqd8q5rAN8V7Y7EGxYm3Tp4KPQMTVWQtzjSSPP3Upg3,gem spotter,Gem Spotter,Tier 2,100.00,100.00,70,70,25162.74,2143337.00,70,54.00
62FZUSWPMX9pofoV1uWHMdzFJRjwMa1LHgh2zhdEB7Zj,early mover,Gem Spotter,Tier 2,100.00,100.00,70,70,33919.22,1711163.00,69,54.00
HGrYmcXeRbiHWNpvRN8Vep25K14dogTPBbWHDKZ3rzFS,gem spotter,Gem Spotter,Tier 2,100.00,100.00,69,69,24797.88,6105359.00,69,53.80
G2upvNYaDkzvXWy7s6zZZhHXj4gtJsfYRHCXY89W2wuv,gem spotter,Gem Spotter,Tier 2,100.00,100.00,69,69,66302.89,2613449.00,69,53.80
22hQSTCXbgQdVVEUWBaHqZGwXuu18mnSp5jbrLvQzcxK,early mover,Gem Spotter,Tier 2,100.00,100.00,69,69,29804.55,2499051.00,68,53.80
8y9ox5P36vD6vhxAbX3s8zSVA2XneEdrqvFBvkwH7ajh,early mover,Gem Spotter,Tier 2,100.00,100.00,68,68,20337.52,4725101.00,68,53.60
DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,early mover,Gem Spotter,Tier 2,100.00,100.00,66,66,70590.98,1388828.00,66,53.20
H3hkk4iFeoiLP1nXxPDA1QSdx6xzQPSSZ3VgdYCJXKBm,early mover,Gem Spotter,Tier 2,100.00,100.00,66,66,17304.80,1573690.00,65,53.20
4fxpWbsubzCYqHvQFtAGETa4zqm1PZeqq8TVUCUnhmeJ,early mover,Gem Spotter,Tier 2,100.00,100.00,65,65,45626.29,3130458.00,65,53.00
2iwsLRampx5krdYdyoAuXAaZtx5EjsgMizBHVDSbDkwe,early mover,Gem Spotter,Tier 2,100.00,100.00,64,64,43444.36,2059517.00,64,52.80
28ipXVfkdmu1PDowCHbcSfzkpH9edZmSiVoDhY5xGVfR,gem spotter,Gem Spotter,Tier 2,100.00,100.00,62,62,42481.43,9893328.00,61,52.40
8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,early mover,Gem Spotter,Tier 2,100.00,100.00,62,62,40365.65,11871016.00,62,52.40
Bpk7VVctpzXYx4BuPnZzs3VSSAWSAQJVq9VufFAq5p6b,early mover,Gem Spotter,Tier 2,100.00,100.00,62,62,51775.73,6245644.00,62,52.40
2ssNnQ777XH4JZktYq6dh6bcMz5xdwP89pzTLPpEPkzK,early mover,Gem Spotter,Tier 2,100.00,100.00,61,61,34718.72,6035846.00,61,52.20
694X5Cuvx6xs4y2aDBu5U1RkZS4RTbcUCZ8qLbH7bVPc,gem spotter,Gem Spotter,Tier 2,100.00,100.00,61,61,21706.66,5525137.00,61,52.20
HW8vXb3KLiMVEiGLyHGs5H4cieaMqfBMbmDbUYCu9ris,early mover,Gem Spotter,Tier 2,100.00,100.00,61,61,68654.76,1610549.00,61,52.20
CW6XezzEftYw4aALKo96x6oudqBZ3sfVXrfF23hAezdX,early mover,Gem Spotter,Tier 2,100.00,100.00,60,60,75046.30,1896348.00,60,52.00
EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK,early mover,Gem Spotter,Tier 2,100.00,100.00,59,59,615946.17,894984.00,57,51.80
2Dr7TyDcwRBo6JvWMUXPn6Sb9R2JN3Z2tvbXT311wDHE,early mover,Gem Spotter,Tier 2,100.00,100.00,59,59,34445.57,1215947.00,58,51.80
FfhdwP7fs48HuHG4zbeZZVa4LS2qr1A215eGBsiowgPq,early mover,Gem Spotter,Tier 2,100.00,100.00,58,58,47492.54,1731080.00,56,51.60
D4FTjsFmPTVewiBnmDk6yBy1b6Wi1pXnTQfeRGh9HR1j,gem spotter,Gem Spotter,Tier 2,100.00,100.00,58,58,567548.23,1434363.00,58,51.60
ATKi3ZvMbo31pbgBgGSGQPDPKEbQ4oGzoDrwG2sms56k,early mover,Gem Spotter,Tier 2,100.00,100.00,58,58,21285.94,1412100.00,57,51.60
CrkK539YNKbsCRWYnH5oEs8Nnn66BjgkdvFEZ8mQ58gk,early mover,Gem Spotter,Tier 2,100.00,100.00,58,58,14119.23,1088474.00,58,51.60
